School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban Area,School Type,Definition,Authority,Donations,Gender of Students,Territorial Authority,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Māori Electorate,Area Unit,Ward,Community of Learning ID,Community of Learning Name,Latitude,Longitude,Isolation Index,Decile,Total School Roll,European / Pākehā,Māori,Pacific,Asian,MELAA,Other,International
518,Kingslea School,03 977 5435,03 347 3105,admin@kingslea.school.nz,Tina Lomax,http://www.kingslea.school.nz,60 Horseshoe Lake Road,Shirley,Christchurch,P O Box 68,,Rolleston,7643,Main Urban Area,Special School,School for pupils with learning/social difficulties,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Burwood,Burwood Ward,99206,Ngā Peka o Tauwharekākaho (Rolleston) Kāhui Ako,-43.504342,172.668091,0.11,1,93,25,64,4,0,0,0,0
522,Halswell Residential College,03 338 5089,03 338 5042,annamccoy@halswellcollege.com,Janine Harrington,http://www.halswellcollege.com,15 Nash Road,Halswell,Christchurch,15 Nash Road,Aidanfield,Christchurch,8025,Main Urban Area,Special School,School for pupils with intellectual impairments,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Aidanfield,Halswell Ward,,,-43.562158,172.569358,0.16,2,9,5,4,0,0,0,0,0
527,Twizel Area School,03 435 0650,03 435 0795,office@twizel.school.nz,Kate Staniford,https://twizel.wordpress.com/,Mt Cook Street,,Twizel,Private Bag 952,,Twizel,7901,Minor Urban Area,Composite,Not Applicable,State,Donations may be requested,Co-Educational,Mackenzie District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Twizel Community,Pukaki Ward,99010,Southern Area Schools' Community of Learning,-44.255248,170.098059,3.67,8,232,167,40,5,16,2,2,0
531,Catholic Cathedral College,03 982 1690,03 982 1692,admin@cathcollege.school.nz,Lee-Ann Nanai,http://www.cathcollege.school.nz,62 Ferry Road,Phillipstown,Christchurch,P O Box 10255,Phillipstown,Christchurch,8145,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Cathedral Square,Central Ward,99044,Christchurch Catholic (Te Mara Akoranga Katorika) Kāhui Ako,-43.53766,172.646599,0.03,4,436,84,64,74,200,12,1,1
572,Te Matauru Primary,03 928 3191,,office@tematauru.school.nz,Danny Nicholls,http://tematauru.school.nz/,53-59 Pentecost Road,,Rangiora,P O Box 708,,Rangiora,7440,Secondary Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Lehmans,Rangiora-Ashley Ward,99077,Puketeraki Community of Learning,-43.314642,172.583507,Not calculated,7,174,132,27,3,7,5,0,0
579,Knights Stream School- Mingimingi Hautoa,03 928 1050,,office@knightsstream.school.nz,Michael Molloy,http://www.knightsstream.school.nz/,1 Killarney Avenue,Halswell,Christchurch,1 Killarney Avenue,Halswell,Christchurch,8025,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Halswell West,Halswell Ward,,,-43.570862,172.537934,Not calculated,10,312,151,21,9,106,19,6,0
584,West Rolleston Primary School,03 595 0952,,office@westrolleston.school.nz,Sylvia Fidow,http://www.westrolleston.school.nz,327 Dunns Crossing Road,,Rolleston,327 Dunns Crossing Road RD 8,Springston,Christchurch,7678,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Springston,Selwyn Central Ward,99206,Ngā Peka o Tauwharekākaho (Rolleston) Kāhui Ako,-43.606888,172.355917,0.5,10,748,476,85,27,109,30,21,0
585,Ararira Springs Primary- Te Puna o Ararira,03 420 0888,,office@ararira.school.nz,Claire Howison,http://www.ararira.school.nz/,18 Russ Drive,,Lincoln,18 Russ Drive,,Lincoln,7672,Minor Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Lincoln,Springs Ward,99113,Ngā Mātāpuna o Ngā Pakihi Community of Learning,-43.648092,172.492975,Not calculated,10,283,191,27,4,45,14,2,0
608,Ashburton Christian School,03 307 6340,,office@acs.school.nz,Timothy Kuipers,http://www.ashburtonchristian.school.nz,119 Albert Street,Elgin,Ashburton,P O Box 632,Elgin,Ashburton,7740,Secondary Urban Area,Composite,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Ashburton East,Eastern Ward,99043,Hakatere Kāhui Ako,-43.911169,171.77209,Not calculated,6,191,114,15,16,32,14,0,0
610,Seven Oaks School,03 377 8603,,office@sevenoaks.school.nz,Jeremy Orczy,http://www.sevenoaks.school.nz/,77 Murphys Road,Halswell,Christchurch,77 Murphys Road,Halswell,Christchurch,8025,Main Urban Area,Full Primary,Not Applicable,Private : Fully Registered,Not applicable,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Halswell West,Halswell Ward,,,-43.58267,172.548458,Not applicable,99,61,48,6,1,3,2,1,0
654,Rolleston College,03 595 2490,,admin@rollestoncollege.nz,Rachel Skelton (Acting),http://www.rollestoncollege.nz,631 Springston Rolleston Road,,Rolleston,P O Box 86045,Rolleston West,Rolleston,7658,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Rolleston South East,Selwyn Central Ward,99206,Ngā Peka o Tauwharekākaho (Rolleston) Kāhui Ako,-43.603517,172.388514,0.53,10,1262,900,161,43,119,19,16,4
683,Ao Tawhiti Unlimited Discovery,03 377 7773,,,Anita Yarwood,https://aotawhiti.school.nz/,5 Mollett St,,Christchurch,P O Box 4666,Christchurch Central,Christchurch,8140,Main Urban Area,Composite,Designated Character School,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Cathedral Square,Central Ward,99215,Te Taura Here o Ōtautahi Kāhui Ako,-43.535939,172.635943,0.02,7,654,485,107,6,36,13,7,0
684,Te Waka Unua School,03 389 9305,03 389 9366,office@tewaka.school.nz,Janeane Reid,http://www.tewaka.school.nz,476 Ferry Road,Woolston,Christchurch,476 Ferry Road,Woolston,Christchurch,8023,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Ensors,Linwood Ward,99063,Tamai Community of Learning,-43.545671,172.672639,0.08,2,505,141,245,71,35,11,2,0
685,Waitakiri Primary School,03 383 2736,,office@waitakiri.school.nz,Andrew Barker,http://www.waitakiri.school.nz/,170 Burwood Road,Burwood,Christchurch,170 Burwood Road,Burwood,Christchurch,8083,Main Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Travis Wetland,Burwood Ward,99175,Ōtākaro Community of Learning,-43.488844,172.683844,0.17,8,612,388,145,29,35,12,2,1
686,Lyttelton Primary School,03 929 0588,03 328 8360,office@lyttelton.school.nz,Brendan Wright,http://www.lyttelton.school.nz,34 Oxford Street,,Lyttelton,P O Box 85,,Lyttelton,8841,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Lyttelton,Banks Peninsula Ward,99196,Aupaki Kāhui Ako,-43.602344,172.723168,0.27,9,219,177,30,0,9,3,0,0
695,Seven Oaks Secondary School,03 377 8603,03 377 8603,office@sevenoaks.school.nz,Jeremy Orczy,http://www.sevenoaks.school.nz,77 Murphys Road,Halswell,Christchurch,77 Murphys Roas,Halswell,Christchurch,8025,Main Urban Area,Secondary (Year 9-15),Not Applicable,Private : Fully Registered,Not applicable,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Halswell West,Halswell Ward,,,-43.583351,172.549813,Not applicable,99,0,0,0,0,0,0,0,0
696,Rāwhiti School,03 388 9519,,admin@rawhiti.school.nz,Liz Weir,http://www.rawhiti.school.nz,150 Leaver Terrace,North New Brighton,Christchurch,150 Leaver Terrace,North New Brighton,Christchurch,8083,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,North Beach,Coastal Ward,,,-43.496105,172.717708,0.2,3,600,354,192,32,16,3,3,0
704,Haeata Community Campus,03 930 0110,,office@haeata.school.nz,Peggy Burrows,http://www.haeata.school.nz,240 Breezes Road,Wainoni,Christchurch,P O Box 15071,Aranui,Christchurch,8643,Main Urban Area,Composite,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Wainoni,Burwood Ward,,,-43.514761,172.696693,0.13,1,608,163,321,94,26,4,0,0
706,Te Pa o Rakaihautu,03 381 0899,,tepa@rakaihautu.com,Dot Singh (Acting),http://www.rakaihautu.com,7 McLean Street,Linwood,Christchurch,P O Box 27131,Shirley,Christchurch,8013,Main Urban Area,Composite,Designated Character School,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Linwood North,Linwood Ward,99215,Te Taura Here o Ōtautahi Kāhui Ako,-43.52931,172.672461,Not calculated,4,226,7,217,2,0,0,0,0
710,Rolleston Christian School,03 550 2653,,,Elizabeth Horn,http://www.rollestonchristian.school.nz,571-575 Springston Rolleston Road,,Rolleston,571 Springston Rolleston Road RD 8,Rolleston,Christchurch,7678,Minor Urban Area,Full Primary,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Rolleston South East,Selwyn Central Ward,99173,Christian Education Network Community of Learning,-43.608323,172.392912,Not calculated,9,201,109,7,11,41,26,7,0
712,Te Rōhutu Whio (Proposed opening date: 2022-01-01),,,,Kate Morgan,https://terohutuwhio.school.nz/,Ed Hillary Drive,,Rolleston,P O Box 92046,Faringdon,Rolleston,7650,Minor Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Rolleston South East,Selwyn Central Ward,99206,Ngā Peka o Tauwharekākaho (Rolleston) Kāhui Ako,-43.611772,172.404307,Not calculated,9,0,0,0,0,0,0,0,0
738,St Francis of Assisi Catholic School,03 595 0730,,,Joanne Earl,http://www.stfrancischch.school.nz,370 Innes Road,Mairehau,Christchurch,370 Innes Road,Mairehau,Christchurch,8052,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Mairehau,Innes Ward,,,-43.499792,172.639393,0.08,7,362,241,38,17,53,13,0,0
903,Ko Taku Reo – Deaf Education New Zealand,03 326 6009,,,James le Marquand,http://www.kotakureo.school.nz/,38 Truro Street,Sumner,Christchurch,P O Box 17715,Sumner,Christchurch,8840,Main Urban Area,Special School,School for pupils with deaf/hearing impairments,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Sumner,Heathcote Ward,,,-43.580312,172.75832,0.09,3,114,23,39,31,12,8,1,0
1168,Emmanuel Christian School,03 359 3595,03 359 4349,office@emmanuelchristian.school.nz,Alistair McKinnon,http://www.emmanuelchristian.school.nz,322A Sawyers Arms Road,Bishopdale,Christchurch,322A Sawyers Arms Road,Bishopdale,Christchurch,8053,Main Urban Area,Composite,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Sawyers Arms,Harewood Ward,99173,Christian Education Network Community of Learning,-43.478668,172.588279,0.02,8,249,125,20,11,58,29,6,0
1582,Nova Montessori School,03 382 0503,,admin@novamontessori.school.nz,Pauline Matsis and Shubha Narayan,http://www.novamontessori.school.nz,53 Owles Terrace,New Brighton,Christchurch,53 Owles Terrace,New Brighton,Christchurch,8061,Main Urban Area,Full Primary,Not Applicable,Private : Fully Registered,Not applicable,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,New Brighton,Coastal Ward,,,-43.510659,172.724993,Not applicable,9,49,30,3,1,7,6,2,0
1611,Timaru Christian School,03 688 1422,03 688 1425,office@timaruchristian.school.nz,Bethany Rentoul,http://www.timaruchristian.school.nz,10 Quarry Road,Watlington,Timaru,10 Quarry Road,Watlington,Timaru,7910,Secondary Urban Area,Composite,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Watlington,Timaru Ward,99178,South Timaru Community of Learning,-44.403579,171.228316,0.67,8,143,75,28,17,17,5,0,1
1618,TKKM o Te Whanau Tahi,03 337 4360,03 337 4304,mahanui@whanau-tahi.school.nz,Sharlene Teirney (Acting),http://www.whanau-tahi.school.nz,83 Lyttelton Street,Spreydon,Christchurch,P O Box 33105,Barrington,Christchurch,8244,Main Urban Area,Composite,Kura Kaupapa Maori,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Barrington South,Spreydon Ward,,,-43.564588,172.614592,0.11,3,163,2,158,3,0,0,0,0
1631,Southern Health School,03 366 6739,03 374 6503,secretary@southernhealth.school.nz,Helen Mantell,http://www.srhs.school.nz,2 Halswell Road,Hillmorton,Christchurch,P O Box 1757,Hillmorton,Christchurch,8140,Main Urban Area,Special School,Regional Health School,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Hillmorton,Spreydon Ward,,,-43.553887,172.593881,0.03,1,13,8,4,1,0,0,0,0
2107,Geraldine Primary School,03 693 8208,03 693 9121,office@geraldine.school.nz,Andrew Leverton,http://www.geraldineprimary.school.nz/,Wilson Street,,Geraldine,73 Wilson Street,,Geraldine,7930,Minor Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Geraldine,Geraldine Ward,99053,Ka Awa Whiria,-44.096874,171.238854,1.19,8,296,233,28,2,24,9,0,0
2108,Winchester Rural School,03 615 9436,03 615 9476,office@winchesterrural.school.nz,Tre Sylvawood,http://www.winchesterrural.school.nz,Rise Road,,Winchester,P O Box 95,,Winchester,7958,Rural Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Winchester,Pleasant Point-Temuka Ward,99053,Ka Awa Whiria,-44.189987,171.278429,1,7,143,120,10,2,4,5,2,0
2109,Temuka Primary School,03 615 7178,,office@temukaprimary.school.nz,Jane Fuller (Acting),http://www.temukaprimary.school.nz,9 Hayhurst Street,,Temuka,9 Hayhurst Street,,Temuka,7920,Minor Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Temuka,Pleasant Point-Temuka Ward,99174,North Timaru Community of Learning,-44.246309,171.286993,0.92,5,252,184,47,3,7,11,0,0
2110,Oceanview Heights School,03 687 9235,03 688 3367,cwelch@ovh.school.nz,Sandi Abel,,241 Selwyn Street,Marchwiel,Timaru,241 Selwyn Street,Marchwiel,Timaru,7910,Secondary Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Marchwiel,Timaru Ward,99174,North Timaru Community of Learning,-44.379556,171.230872,0.7,2,87,44,10,31,1,0,1,0
2111,Grantlea Downs School,03 684 7706,,office@grantleadowns.school.nz,Stephen Fennessy,http://www.grantleadowns.school.nz,65 Grants Road,Marchwiel,Timaru,65 Grants Road,Marchwiel,Timaru,7910,Secondary Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Marchwiel,Timaru Ward,99178,South Timaru Community of Learning,-44.374383,171.235534,0.7,5,331,228,76,11,14,2,0,0
2112,Barton Rural School,03 688 4709,03 684 7592,office@bartonrural.school.nz,Matthew Gollins,http://www.bartonrural.school.nz/,462 Fairview Road,Gleniti,Timaru,462 Fairview Road RD 2,,Timaru,7972,Secondary Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Fairview-Scarborough,Timaru Ward,99178,South Timaru Community of Learning,-44.409939,171.171624,0.76,9,166,131,20,0,10,5,0,0
2113,Bluestone School,03 684 3706,03 684 8192,admin@bluestone.school.nz,Darren Smith,http://www.bluestone.school.nz,Raymond Street,West End,Timaru,46 Raymond Street,West End,Timaru,7910,Secondary Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Fraser Park,Timaru Ward,99178,South Timaru Community of Learning,-44.398364,171.226384,0.7,5,499,344,78,31,19,23,4,0
2114,Beaconsfield School,03 686 4819,03 686 4806,office@beaconsfield.school.nz,Hamish Brown,http://www.beaconsfield.school.nz,40 Guscott Road,Gleniti,Timaru,40 Guscott Road RD 2,,Timaru,7972,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Levels,Timaru Ward,99178,South Timaru Community of Learning,-44.434245,171.129705,0.93,9,117,101,8,4,0,2,2,0
2115,Timaru South School,03 684 3704,03 688 5215,office@timarusouth.school.nz,Brandon Payne,http://www.timarusouth.school.nz,44 Queen Street,Parkside,Timaru,44 Queen Street,Parkside,Timaru,7910,Secondary Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Timaru Gardens,Timaru Ward,99178,South Timaru Community of Learning,-44.408464,171.249835,0.68,2,235,132,56,34,9,3,1,0
2126,Jean Seabrook Memorial School,03 381 5383,03 381 5385,school@seabrookmckenzie.net,Mary Gillies,,68 London Street,Richmond,Christchurch,68 London Street,Richmond,Christchurch,8013,Main Urban Area,Full Primary,School for pupils with learning/social difficulties,Private : Fully Registered,Not applicable,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Richmond South,Central Ward,,,-43.520222,172.654826,Not applicable,99,7,7,0,0,0,0,0,0
2748,Karanga Mai Young Parents College,03 327 8386,03 327 8366,,Ruth Robertson,,26 Robert Coup Road,,Kaiapoi,26 Robert Coup Road,,Kaiapoi,7630,Main Urban Area,Teen Parent Unit,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Mansfield,Kaiapoi-Woodend Ward,,,-43.38764,172.644532,0.34,1,0,0,0,0,0,0,0,0
2761,Kimihia Parents' College,03 982 0100,03 982 0101,diane.atkins@klc.school.nz,Richard Edmundson,http://www.linwoodcollege.school.nz,521 Ferry Road,Woolston,Christchurch,P O Box 24034,Eastgate,Christchurch,8642,Main Urban Area,Teen Parent Unit,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Woolston West,Linwood Ward,,,-43.544767,172.673447,0.07,1,0,0,0,0,0,0,0,0
3270,Sacred Heart School (Christchurch),03 338 3247,03 339 2086,principal@sacredheartchch.school.nz,Frank McManus,http://www.sacredheartchch.school.nz,40 Spencer Street,Addington,Christchurch,P O Box 9313,Tower Junction,Christchurch,8149,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Addington,Spreydon Ward,,,-43.546066,172.612757,0.07,4,187,39,7,24,113,3,1,0
3271,Addington Te Kura Taumatua,03 366 2909,03 365 8940,office@addington.school.nz,Donna Buchanan,http://www.addington.school.nz/,22 Brougham Street,Addington,Christchurch,22 Brougham Street,Addington,Christchurch,8024,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Spreydon,Spreydon Ward,,,-43.547858,172.61824,0.07,3,278,97,68,24,53,33,3,0
3273,Albury School,03 685 5844,03 685 5843,office@albury.school.nz,Donna Donnelly,http://www.albury.school.nz,48 Queen Street,,Albury,48 Queen Street RD 14,,Cave,7984,Rural Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Mackenzie District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Mackenzie,Opuha Ward,99143,Te Kāhui Ako ō Te Manahuna,-44.230478,170.87061,1.53,7,33,29,4,0,0,0,0,0
3274,Allenton School,03 308 6495,03 308 6492,office@allenton.school.nz,Bruce Tilby,http://www.allenton.school.nz,110 Harrison Street,Allenton,Ashburton,110 Harrison Street,Allenton,Ashburton,7700,Secondary Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Allenton East,Ashburton Ward,,,-43.885885,171.741452,1.16,7,428,282,41,50,35,18,2,0
3275,Allenvale Special School and Res Centre,03 351 6743,03 351 4287,office@allenvale.school.nz,Ian Poulter ,http://www.allenvale.school.nz,14 A Aorangi Road,Bryndwr,Christchurch,14A Aorangi Road,Bryndwr,Christchurch,8053,Main Urban Area,Special School,School for pupils with intellectual impairments,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Aorangi,Papanui Ward,99027,Waimairi-iri Community of Learning,-43.499967,172.598921,0.12,6,144,90,21,5,22,4,2,0
3276,Amberley School,03 314 8309,03 314 8709,office@amberley.school.nz,Simon Green,http://www.amberley.school.nz,2 Lawcocks Road,,Amberley,2 Lawcocks Road,,Amberley,7410,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Hurunui District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Leithfield,Amberley Ward,99077,Puketeraki Community of Learning,-43.152379,172.723044,0.86,7,244,183,40,6,6,8,1,0
3280,Arowhenua Maori School,03 615 7391,03 615 7392,office@arowhenuamaori.school.nz,Bronwyn Te Koeti-James,http://www.arowhenuamaori.school.nz,33 Huirapa Street,Arowhenua,Temuka,33 Huirapa Street RD 25,,Temuka,7985,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Orari,Pleasant Point-Temuka Ward,99174,North Timaru Community of Learning,-44.255105,171.270848,0.9,3,40,8,31,1,0,0,0,0
3281,Ashburton Borough School,03 307 8529,,office@ashborough.school.nz,Hilary Boyce,http://www.ashborough.school.nz,49 Winter Street,Allenton,Ashburton,49 Winter Street,Allenton,Ashburton,7700,Secondary Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Ashburton Central West,Ashburton Ward,99043,Hakatere Kāhui Ako,-43.9024,171.742789,1.12,7,347,234,26,36,42,8,1,0
3282,Ashburton Intermediate,03 308 9563,03 308 9564,office@ashinter.school.nz,Brent Gray,http://www.ashinter.school.nz,144 Cass Street,Netherby,Ashburton,144 Cass Street,Netherby,Ashburton,7700,Secondary Urban Area,Intermediate,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Ashburton Central East,Ashburton Ward,99043,Hakatere Kāhui Ako,-43.901069,171.758827,1.13,6,415,266,70,50,25,3,1,0
3283,Ashburton Netherby School,03 308 5799,03 308 5799,office@netherby.school.nz,Phil Wheeler,http://www.netherbyschool.co.nz,51 Brucefield Avenue,Netherby,Ashburton,51 Brucefield Avenue,Netherby,Ashburton,7700,Secondary Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Netherby,Ashburton Ward,99043,Hakatere Kāhui Ako,-43.896402,171.765981,1.14,3,149,37,50,55,2,5,0,0
3284,Ashgrove School,03 313 8552,,admin@ashgrove.school.nz,Leon Van't Veen-Gibbon,http://www.ashgrove.school.nz,48 Seddon Street,Southbrook,Rangiora,48 Seddon Street,,Rangiora,7400,Secondary Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Rangiora North,Rangiora-Ashley Ward,99077,Puketeraki Community of Learning,-43.29992,172.581525,0.43,9,469,390,42,4,24,4,5,0
3285,Ashley Rakahuri School,03 313 8907,03 313 9418,office@ashley.school.nz,Linda Horne (Acting),http://www.ashley.school.nz,Boundary Road,Ashley,Rangiora,P O Box 190,,Rangiora,7440,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Ashley,Rangiora-Ashley Ward,99077,Puketeraki Community of Learning,-43.274067,172.596264,0.51,10,171,138,18,3,9,3,0,0
